algo,exp_label,req_id,src,dst,sp_hop,chosen_hop,detour,in_path_set,tree_depth,purify_rounds,fidelity,prob,finish_t,outcome
SP_skewed,request_cnt=20.000000 Round=0,5,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,6,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,7,81,48,4,4,0,1,3,1|1|1|1,0.834172,0.452937,6,accepted
SP_skewed,request_cnt=20.000000 Round=0,8,64,8,2,2,0,1,1,0|0,0.838613,0.788029,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,9,64,94,2,2,0,1,1,0|0,0.839702,0.791418,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,10,62,10,4,4,0,1,3,2|2|2|2,0.826391,0.200637,7,accepted
SP_skewed,request_cnt=20.000000 Round=0,11,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,12,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,13,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,14,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,15,81,48,4,4,0,1,3,1|1|1|1,0.834172,0.452937,8,accepted
SP_skewed,request_cnt=20.000000 Round=0,16,6,56,6,6,0,1,5,5|5|5|5|5|5,0.801386,0.0232481,12,accepted
SP_skewed,request_cnt=20.000000 Round=0,17,0,9,6,6,0,1,5,2|2|2|2|2|2,0.811432,0.200221,11,accepted
SP_skewed,request_cnt=20.000000 Round=0,18,8,94,2,2,0,1,1,0|0,0.838021,0.786246,3,accepted
SP_skewed,request_cnt=20.000000 Round=0,19,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,0,52,19,4,4,0,1,2,1|1|1|1,0.815256,0.394351,5,accepted
SP_balanced,request_cnt=20.000000 Round=0,1,55,14,3,3,0,1,2,0|0|0,0.802889,0.729934,4,accepted
SP_balanced,request_cnt=20.000000 Round=0,2,82,1,5,5,0,1,3,2|2|2|2|2,0.812312,0.178237,7,accepted
SP_balanced,request_cnt=20.000000 Round=0,3,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,4,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,5,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,6,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,7,81,48,4,4,0,1,2,1|1|1|1,0.834187,0.452937,5,accepted
SP_balanced,request_cnt=20.000000 Round=0,8,64,8,2,2,0,1,1,0|0,0.838613,0.788029,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,9,64,94,2,2,0,1,1,0|0,0.839702,0.791418,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,10,62,10,4,4,0,1,2,2|2|2|2,0.826412,0.200637,7,accepted
SP_balanced,request_cnt=20.000000 Round=0,11,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,12,59,64,2,2,0,1,1,0|0,0.88135,0.875651,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,13,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,14,34,47,2,2,0,1,1,0|0,0.854461,0.827551,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,15,81,48,4,4,0,1,2,1|1|1|1,0.834187,0.452937,7,accepted
SP_balanced,request_cnt=20.000000 Round=0,16,6,56,6,6,0,1,3,5|5|5|5|5|5,0.801446,0.0232481,12,accepted
SP_balanced,request_cnt=20.000000 Round=0,17,0,9,6,6,0,1,3,2|2|2|2|2|2,0.811487,0.200221,10,accepted
SP_balanced,request_cnt=20.000000 Round=0,18,8,94,2,2,0,1,1,0|0,0.838021,0.786246,3,accepted
SP_balanced,request_cnt=20.000000 Round=0,19,59,64,2,2,0,1,1,0|0,0.88135,0.875651,6,accepted
ZFA_routing,tao=0.010000 Round=0,29,17,20,3,3,0,1,2,0|1|0,0.8062,0.736227,6,accepted
ZFA_routing,tao=0.010000 Round=0,27,0,23,4,4,0,0,3,5|5|0|0,0.808723,0.364675,12,accepted
ZFA_routing,tao=0.010000 Round=0,26,29,11,4,4,0,1,2,5|0|5|5,0.809987,0.200173,12,accepted
ZFA_routing,tao=0.010000 Round=0,25,24,12,4,4,0,0,2,0|0|5|5,0.808452,0.325913,12,accepted
ZFA_routing,tao=0.010000 Round=0,24,21,13,2,2,0,1,1,0|0,0.894328,0.9,3,accepted
ZFA_routing,tao=0.010000 Round=0,22,9,15,4,5,1,0,3,3|2|3|1|2,0.801219,0.246146,7,accepted
ZFA_routing,tao=0.010000 Round=0,21,17,3,4,4,0,1,2,1|1|1|1,0.803085,0.488812,5,accepted
ZFA_routing,tao=0.010000 Round=0,20,23,16,3,3,0,1,2,0|1|0,0.806858,0.735777,5,accepted
ZFA_routing,tao=0.010000 Round=0,19,12,14,2,2,0,1,1,0|0,0.849304,0.9,3,accepted
ZFA_routing,tao=0.010000 Round=0,18,21,15,3,3,0,1,2,0|0|5,0.817882,0.515672,12,accepted
ZFA_routing,tao=0.010000 Round=0,17,16,19,4,4,0,1,2,5|5|0|0,0.805911,0.304003,12,accepted
ZFA_routing,tao=0.010000 Round=0,0,5,13,4,4,0,1,2,2|1|0|0,0.805619,0.571141,6,accepted
ZFA_routing,tao=0.010000 Round=0,13,12,21,3,3,0,1,2,1|0|0,0.805343,0.725724,6,accepted
ZFA_routing,tao=0.010000 Round=0,11,6,19,4,4,0,1,2,1|1|0|1,0.801469,0.555646,5,accepted
ZFA_routing,tao=0.010000 Round=0,9,15,21,3,3,0,1,2,0|1|0,0.802908,0.739152,11,accepted
ZFA_routing,tao=0.010000 Round=0,8,10,29,3,3,0,1,2,0|0|1,0.806272,0.735946,7,accepted
ZFA_routing,tao=0.010000 Round=0,7,26,6,3,3,0,1,2,0|1|0,0.800649,0.727055,7,accepted
ZFA_routing,tao=0.010000 Round=0,6,14,29,2,2,0,1,1,0|0,0.853197,0.9,6,accepted
ZFA_routing,tao=0.010000 Round=0,5,23,2,4,4,0,1,3,5|0|0|5,0.801127,0.285971,12,accepted
ZFA_routing,tao=0.010000 Round=0,3,18,19,3,3,0,1,2,0|0|0,0.841031,0.81,7,accepted
ZFA_routing,tao=0.010000 Round=0,2,10,23,4,4,0,0,3,0|0|0|5,0.807584,0.460659,12,accepted
ZFA_routing,tao=0.010000 Round=0,1,8,27,3,3,0,1,2,0|0|0,0.82218,0.81,10,accepted
ZFA_routing,tao=0.010000 Round=0,4,8,28,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_mem
ZFA_routing,tao=0.010000 Round=0,10,12,29,3,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.010000 Round=0,12,27,18,3,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.010000 Round=0,14,17,27,4,NA,NA,NA,NA,NA,NA,NA,NA,no_shape
ZFA_routing,tao=0.010000 Round=0,15,19,12,3,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.010000 Round=0,16,6,7,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
ZFA_routing,tao=0.010000 Round=0,23,24,29,4,NA,NA,NA,NA,NA,NA,NA,NA,no_shape
ZFA_routing,tao=0.010000 Round=0,28,15,11,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_skewed,tao=0.010000 Round=0,0,5,13,4,4,0,1,3,1|1|1|1,0.830551,0.518588,6,accepted
SP_skewed,tao=0.010000 Round=0,1,8,27,3,3,0,1,2,0|0|0,0.82218,0.81,4,accepted
SP_skewed,tao=0.010000 Round=0,2,10,23,4,4,0,1,3,1|1|1|1,0.804187,0.490404,6,accepted
SP_skewed,tao=0.010000 Round=0,3,18,19,3,3,0,1,2,0|0|0,0.841031,0.81,4,accepted
SP_skewed,tao=0.010000 Round=0,4,8,28,4,4,0,1,3,1|1|1|1,0.812476,0.499234,6,accepted
SP_skewed,tao=0.010000 Round=0,5,23,2,4,4,0,1,3,1|1|1|1,0.808306,0.494728,8,accepted
SP_skewed,tao=0.010000 Round=0,6,14,29,2,2,0,1,1,0|0,0.853197,0.9,3,accepted
SP_skewed,tao=0.010000 Round=0,7,26,6,3,3,0,1,2,1|1|1,0.838511,0.590009,9,accepted
SP_skewed,tao=0.010000 Round=0,8,10,29,3,3,0,1,2,1|1|1,0.844405,0.59717,5,accepted
SP_skewed,tao=0.010000 Round=0,9,15,21,3,3,0,1,2,1|1|1,0.843886,0.596443,5,accepted
